"LoincNumber","LongCommonName","PartNumber","PartName","PartCodeSystem","PartTypeName","LinkTypeName","Property"
"100007-4","Demonstrates knowledge of pain management","LP430726-2","Demonstrates knowledge of pain management","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100007-4","Demonstrates knowledge of pain management","LP6813-2","Find","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"100007-4","Demonstrates knowledge of pain management","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"100007-4","Demonstrates knowledge of pain management","LP310005-6","^Patient","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"100007-4","Demonstrates knowledge of pain management","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"100008-2","Demonstrates knowledge of wound management","LP430727-0","Demonstrates knowledge of wound management","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100008-2","Demonstrates knowledge of wound management","LP6813-2","Find","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"100008-2","Demonstrates knowledge of wound management","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"100008-2","Demonstrates knowledge of wound management","LP310005-6","^Patient","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"100008-2","Demonstrates knowledge of wound management","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"100041-3","Aminoglycoside [Susceptibility]","LP267482-0","Aminoglycoside","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100041-3","Aminoglycoside [Susceptibility]","LP6870-2","Susc","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"100041-3","Aminoglycoside [Susceptibility]","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"100041-3","Aminoglycoside [Susceptibility]","LP7370-2","Isolate","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"100041-3","Aminoglycoside [Susceptibility]","LP7752-1","OrdQn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP431524-0","Avian schistosomes DNA","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP7735-6","XXX","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"100865-5","Avian schistosomes DNA [Presence] in Specimen by NAA with probe detection","LP6464-4","Probe.amp.tar","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"100906-7","Bacteria [#/volume] in Urine by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"101421-6","Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection","LP38557-2","Human coronavirus NL63 RNA","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"101421-6","Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"101421-6","Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"101421-6","Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection","LP436142-6","Respiratory System Specimen","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"101421-6","Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"101421-6","Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection","LP6464-4","Probe.amp.tar","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"101448-9","Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay","LP434533-8","Contactin-associated protein 1 Ab.IgG","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"101448-9","Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"101448-9","Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"101448-9","Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay","LP7576-4","Ser/Plas","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"101448-9","Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"101448-9","Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay","LP269367-1","CBA IFA","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"102820-8","Sole IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP39771-8","Solea solea Ab.IgG","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"102820-8","Sole IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"102820-8","Sole IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"102820-8","Sole IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP7567-3","Ser","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"102820-8","Sole IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP436123-6","SemiQn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"102820-8","Sole IgG Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP6477-6","RAST","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"102896-8","Oriental Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP147650-8","Blatta orientalis Ab.IgE","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"102896-8","Oriental Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"102896-8","Oriental Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"102896-8","Oriental Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP7567-3","Ser","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"102896-8","Oriental Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP436123-6","SemiQn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"102896-8","Oriental Cockroach IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)","LP6477-6","RAST","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"10332-5","Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM","LP305473-3","Cortisol^pre 250 ug corticotropin IM","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10332-5","Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM","LP6827-2","MCnc","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"10332-5","Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"10332-5","Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM","LP7576-4","Ser/Plas","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"10332-5","Cortisol [Mass/volume] in Serum or Plasma --pre 250 ug corticotropin IM","LP7753-9","Qn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"10333-3","Appearance of Cerebral spinal fluid","LP442509-8","Observation","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10333-3","Appearance of Cerebral spinal fluid","LP6779-5","Aper","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"10333-3","Appearance of Cerebral spinal fluid","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"10333-3","Appearance of Cerebral spinal fluid","LP7156-5","CSF","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"10333-3","Appearance of Cerebral spinal fluid","LP7750-5","Nom","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"10352-3","Bacteria identified in Genital specimen by Aerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10353-1","Bacteria identified in Nose by Aerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10354-9","Bacteria identified in Urethra by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10390-3","Blood product special preparation [Type]","LP14583-6","Blood product special preparation","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10390-3","Blood product special preparation [Type]","LP6886-8","Type","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"10390-3","Blood product special preparation [Type]","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"10390-3","Blood product special preparation [Type]","LP281728-8","^BPU","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"10390-3","Blood product special preparation [Type]","LP7750-5","Nom","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"10391-1","Cytomegalovirus immune globulin given [Volume]","LP228251-7","Cytomegalovirus immune globulin given","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10391-1","Cytomegalovirus immune globulin given [Volume]","LP6893-4","Vol","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"10391-1","Cytomegalovirus immune globulin given [Volume]","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"10391-1","Cytomegalovirus immune globulin given [Volume]","LP310005-6","^Patient","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"10391-1","Cytomegalovirus immune globulin given [Volume]","LP7753-9","Qn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"1039-7","G Ag [Presence] on Red Blood Cells from Blood product unit","LP38212-4","G Ag","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"1039-7","G Ag [Presence] on Red Blood Cells from Blood product unit","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"1039-7","G Ag [Presence] on Red Blood Cells from Blood product unit","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"1039-7","G Ag [Presence] on Red Blood Cells from Blood product unit","LP30226-2","RBC^BPU","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"1039-7","G Ag [Presence] on Red Blood Cells from Blood product unit","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"104553-3","Microorganism identified by MS.MALDI-TOF in Positive blood culture","LP14559-6","Microorganism","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"104597-0","Glucose [Mass/volume] in Venous blood by Glucometer","LP14635-4","Glucose","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"104597-0","Glucose [Mass/volume] in Venous blood by Glucometer","LP6827-2","MCnc","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"104597-0","Glucose [Mass/volume] in Venous blood by Glucometer","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"104597-0","Glucose [Mass/volume] in Venous blood by Glucometer","LP7073-2","BldV","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"104597-0","Glucose [Mass/volume] in Venous blood by Glucometer","LP7753-9","Qn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"104597-0","Glucose [Mass/volume] in Venous blood by Glucometer","LP6298-6","Glucometer","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"104684-6","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1) [Mass/volume] in DBS","LP182321-2","1,1-Dimethoxy-(9Z)octadecene","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"104684-6","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1) [Mass/volume] in DBS","LP6827-2","MCnc","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"104684-6","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1) [Mass/volume] in DBS","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"104684-6","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1) [Mass/volume] in DBS","LP21304-8","Bld.dot","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"104684-6","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1) [Mass/volume] in DBS","LP7753-9","Qn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"104865-1","Bacteria [Presence] in Urine by Computer assisted method","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105051-7","Bacteria [#/area] in Urine sediment by Microscopy","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105052-5","Bacteria [Presence] in Urine sediment by Microscopy","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10525-4","Microscopic observation [Identifier] in Specimen by Cyto stain","LP442509-8","Observation","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10525-4","Microscopic observation [Identifier] in Specimen by Cyto stain","LP6850-4","Prid","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"10525-4","Microscopic observation [Identifier] in Specimen by Cyto stain","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"10525-4","Microscopic observation [Identifier] in Specimen by Cyto stain","LP7735-6","XXX","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"10525-4","Microscopic observation [Identifier] in Specimen by Cyto stain","LP7750-5","Nom","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"10525-4","Microscopic observation [Identifier] in Specimen by Cyto stain","LP6213-5","Cyto stain","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"10550-2","Deprecated Temazepam [Mass/volume] in Serum or Plasma","LP14551-3","Temazepam","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"10550-2","Deprecated Temazepam [Mass/volume] in Serum or Plasma","LP6827-2","MCnc","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"10550-2","Deprecated Temazepam [Mass/volume] in Serum or Plasma","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"10550-2","Deprecated Temazepam [Mass/volume] in Serum or Plasma","LP7576-4","Ser/Plas","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"10550-2","Deprecated Temazepam [Mass/volume] in Serum or Plasma","LP7753-9","Qn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"105610-0","Bacteria [#/volume] in Bronchoalveolar lavage by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105907-0","Bacteria [#/volume] in Urine","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105908-8","Bacteria [#/area] in Urine sediment","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105917-9","Bacteria identified in Bronchoalveolar lavage by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105924-5","Bacteria identified in Surgical wound by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105925-2","Bacteria identified in Periumbilical by Aerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105932-8","Bacteria identified in Bronchial specimen by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"105933-6","Bacteria identified in Surgical wound by Anaerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"106016-9","Bacteria identified in Penis by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"106018-5","Bacteria [#/volume] in Semen by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"106032-6","Bacteria identified in Pus by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"106033-4","Bacteria identified in Pus by Anaerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"106042-5","Bacteria identified in Mother's milk by Culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"107188-5","Bacteria identified in Abscess by Anaerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"1099-1","Kp sup(a) Ab [Presence] in Serum or Plasma","LP38754-5","K little p super little a Ab","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"1099-1","Kp sup(a) Ab [Presence] in Serum or Plasma","LP217195-9","PrThr","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"1099-1","Kp sup(a) Ab [Presence] in Serum or Plasma","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"1099-1","Kp sup(a) Ab [Presence] in Serum or Plasma","LP7576-4","Ser/Plas","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"1099-1","Kp sup(a) Ab [Presence] in Serum or Plasma","LP7751-3","Ord","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"11101-3","Bacteria [#/area] in Synovial fluid by Microscopy high power field","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"11261-5","Bacteria identified in Vaginal fluid by Aerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"11475-1","Microorganism identified in Specimen by Culture","LP14559-6","Microorganism","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"11702-8","Cerebral artery middle Peak systolic flow velocity US.doppler","LP411118-5","Blood flow velocity.systolic.max","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"11702-8","Cerebral artery middle Peak systolic flow velocity US.doppler","LP6888-4","Vel","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"11702-8","Cerebral artery middle Peak systolic flow velocity US.doppler","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"11702-8","Cerebral artery middle Peak systolic flow velocity US.doppler","LP7129-2","Cerebral artery middle","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"11702-8","Cerebral artery middle Peak systolic flow velocity US.doppler","LP7753-9","Qn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"11702-8","Cerebral artery middle Peak systolic flow velocity US.doppler","LP6617-7","US.doppler","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"11704-4","Ductus arteriosus Peak systolic flow velocity US.doppler","LP411118-5","Blood flow velocity.systolic.max","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"11704-4","Ductus arteriosus Peak systolic flow velocity US.doppler","LP6888-4","Vel","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"11704-4","Ductus arteriosus Peak systolic flow velocity US.doppler","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"11704-4","Ductus arteriosus Peak systolic flow velocity US.doppler","LP7185-4","Ductus arteriosus","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
"11704-4","Ductus arteriosus Peak systolic flow velocity US.doppler","LP7753-9","Qn","http://loinc.org","SCALE","Primary","http://loinc.org/property/SCALE_TYP"
"11704-4","Ductus arteriosus Peak systolic flow velocity US.doppler","LP6617-7","US.doppler","http://loinc.org","METHOD","Primary","http://loinc.org/property/METHOD_TYP"
"12178-0","Bacteria [Presence] in Genital specimen by Wet preparation","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"12281-2","Bacteria identified in Cervix by Anaerobe culture","LP14082-9","Bacteria","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"12814-0","Potassium [Moles/volume] in Vitreous fluid","LP15098-4","Potassium","http://loinc.org","COMPONENT","Primary","http://loinc.org/property/COMPONENT"
"12814-0","Potassium [Moles/volume] in Vitreous fluid","LP6860-3","SCnc","http://loinc.org","PROPERTY","Primary","http://loinc.org/property/PROPERTY"
"12814-0","Potassium [Moles/volume] in Vitreous fluid","LP6960-1","Pt","http://loinc.org","TIME","Primary","http://loinc.org/property/TIME_ASPCT"
"12814-0","Potassium [Moles/volume] in Vitreous fluid","LP7715-8","Vitr fld","http://loinc.org","SYSTEM","Primary","http://loinc.org/property/SYSTEM"
